id,name,number,longitude,latitude
1,Puerta del Sol A,1a,-3.7018341,40.4172137
2,Puerta del Sol B,1b,-3.701602938060457,40.41731271011562
3,Miguel Moya,2,-3.7058415,40.4205886
4,Plaza Conde Suchil,3,-3.7069171,40.4302937
5,Malasaña,4,-3.7025875,40.4285524
6,Fuencarral,5,-3.70205,40.42852
7,Colegio Arquitectos,6,-3.6984470,40.4241480
8,Hortaleza,7,-3.6977715,40.4251906
9,Alonso Martínez,8,-3.6954403,40.4278682
10,Plaza de San Miguel,9,-3.7095084,40.4156057
11,Marqués de la Ensenada,10,-3.69214,40.42533
12,San Andrés,11,-3.7035918,40.4269483
13,San Hermenegildo,12,-3.7061931,40.4284246
14,Conde Duque,13,-3.7104417,40.4273264
15,Ventura Rodríguez,14,-3.7134790,40.4260957
16,San Vicente Ferrer,15,-3.7074453,40.4262383
17,San Bernardo,16,-3.7075065,40.4230721
18,Carlos Cambronero,17,-3.7038312,40.4232649
19,Plaza de Pedro Zerolo,18,-3.6996502,40.4207773
20,Prim,19,-3.6954983,40.4218616
21,Banco de España A,20a,-3.6954615,40.4192342
25,Jacometrezo,22,-3.7065376,40.4200783
26,Santo Domingo,23,-3.7081246,40.4202834
27,Palacio de Oriente,24,-3.710692,40.417908
28,Plaza de Celenque A,25a,-3.7057791,40.4173703
29,Plaza de Celenque B,25b,-3.7063837,40.4172781
30,Plaza de las Salesas,26,-3.694475,40.423855
31,Huertas,27,-3.6956178,40.4132798
32,Sevilla,28,-3.6984368,40.4181518
33,Marqués de Cubas,29,-3.6957355,40.4162619
34,San Quintín,30,-3.7115040,40.4192095
35,Calle Mayor,31,-3.7068969,40.4163638
36,Plaza de la Provincia,32,-3.7061032,40.4150099
37,Carretas,33,-3.7030833,40.4165039
38,Jacinto Benavente,34,-3.7036825,40.4146755
39,Plaza del Cordón,35,-3.7103285,40.4141931
40,Plaza Ramales,36,-3.71183,40.4168
41,Plaza de San Francisco,37,-3.714113,40.4108
42,Plaza de los Carros,38,-3.7114762,40.4114041
43,Plaza de la Cebada,39,-3.7088337,40.4112744
44,Conde de Romanones,40,-3.7049407,40.4138846
45,Antón Martín,41,-3.6991147,40.4122047
46,Santa Isabel,42,-3.6982318,40.4107085
47,Jesús y María,43,-3.7025024,40.4101564
48,Plaza de Nelson Mandela,44,-3.7040666,40.4097617
49,Puerta de Toledo,45,-3.7110513,40.4070358
50,Ribera de Curtidores,46,-3.7071259,40.4053153
51,Embajadores 1,47,-3.7028265,40.4047851
52,Embajadores 2,48,-3.7022591,40.4056107
53,Casa Encendida,49,-3.6992759,40.4060941
54,Museo Reina Sofía,50,-3.6933463,40.4083684
55,Ronda de Atocha,51,-3.6935205,40.4075606
56,Plaza de Santa Ana,52,-3.7007164,40.4144226
57,Plaza de Lavapiés,53,-3.7007111,40.4083061
58,Barceló,54,-3.7004230,40.4266828
59,Plaza de San Ildefonso,55,-3.7020842,40.4239757
60,Plaza del Carmen ,56,-3.7032414,40.4184192
61,Santa Cruz del Marcenado,57,-3.7126299,40.4295658
62,Augusto Figueroa,58,-3.6978950,40.4222862
63,Plaza de Juan Pujol,59,-3.7043418,40.4255495
64,Plaza de la Independencia,60,-3.6883980,40.4197520
65,Narváez,61,-3.6752045,40.4213983
66,O'Donnell,62,-3.6724968,40.4213148
67,Ibiza,63,-3.6708959,40.4179237
69,Antonio Maura,65,-3.6894193,40.4166834
71,Almadén,67,-3.6932250,40.4108472
72,Espalter,68,-3.6912023,40.4128372
73,Puerta del Ángel Caído,69,-3.6888220,40.4098080
74,Puerta del Doce de Octubre,70,-3.6779232,40.4153053
75,Doce de Octubre,71,-3.6738865,40.4159569
76,Sainz de Baranda,72,-3.6691838,40.4157413
77,Plaza de los Astros,73,-3.6689089,40.4114475
78,Puerta del Pacífico ,74,-3.6766813,40.4117627
79,Menéndez Pelayo,75,-3.6784838,40.4082805
80,Puerta de Mariano de Cavia,76,-3.6751352,40.4071304
81,Conde de Casal,77,-3.6704220,40.4063500
82,Pedro Bosch,78,-3.674400,40.400789
83,Puerta de Granada,79,-3.6803874,40.4051451
84,Atocha A,80a,-3.6902255,40.4075685
85,Atocha B,80b,-3.6901234,40.4074902
86,Cuesta de Moyano,81,-3.6919870,40.4092970
87,Niño Jesús,82,-3.6697526,40.4084556
88,Pío Baroja,83,-3.6745323,40.4132995
89,Valderribas,84,-3.6726019,40.4032501
